title_year,gross,budget,marga,marga_coef,imdb_score,director_name,actor_1_name,num_voted_users,movie_facebook_likes,film_class,good_film_summ,year_class
1940.0,9172000.0,1614000.0,7558000.0,5.68277571251549,7.1,900.0,735.0,2269,236,1,1,0
1946.0,20400000.0,8000000.0,12400000.0,2.55,6.9,1315.0,999.0,6304,403,1,1,0
1948.0,4506000.0,3000000.0,1506000.0,1.502,7.8,863.0,1426.0,21316,0,0,0,0
1949.0,5400000.0,1600000.0,3800000.0,3.375,7.4,1101.0,719.0,11920,721,1,1,0
1950.0,8000000.0,3768785.0,4231215.0,2.122700021359669,7.0,771.0,1073.0,3167,456,0,0,0
1952.0,12000000.0,750000.0,11250000.0,16.0,8.1,721.0,660.0,80193,3000,1,1,0
1956.0,4500000.0,1000000.0,3500000.0,4.5,6.2,1928.0,814.0,2636,365,1,1,0
1961.0,8200000.0,4000000.0,4200000.0,2.05,7.4,1116.0,1426.0,12981,0,0,0,0
1962.0,8000000.0,3200000.0,4800000.0,2.5,8.1,1101.0,1166.0,53741,0,1,1,0
1964.0,3500000.0,200000.0,3300000.0,17.5,8.0,2062.0,370.0,147566,0,1,1,0
1965.0,14873.0,3800000.0,-3785127.0,0.003913947368421,6.8,2024.0,811.0,5294,251,0,0,0
1966.0,6100000.0,1200000.0,4900000.0,5.083333333333333,8.9,2062.0,370.0,503509,20000,1,1,0
1968.0,6800000.0,1800000.0,5000000.0,3.7777777777777777,7.0,2197.0,370.0,25472,0,1,1,0
1968.0,2560000.0,1455000.0,1105000.0,1.7594501718213058,5.5,625.0,241.0,1978,209,0,1,0
1968.0,5380000.0,5000000.0,380000.0,1.076,8.6,2062.0,364.0,216005,10000,0,1,0
1969.0,102308900.0,6000000.0,96308900.0,17.051483333333334,8.1,770.0,1058.0,152089,0,1,1,0
1969.0,31678000.0,20000000.0,11678000.0,1.5839,6.7,1213.0,370.0,9352,0,0,1,0
1969.0,11000000.0,6244087.0,4755913.0,1.7616666776103536,8.0,2024.0,2055.0,63192,0,0,1,0
