title_year,gross,budget,marga,marga_coef,imdb_score,director_name,actor_1_name,num_voted_users,movie_facebook_likes,film_class,good_film_summ,year_class
2009.0,760505847.0,237000000.0,523505847.0,3.208885430379747,7.9,James Cameron,CCH Pounder,886204,33000,1,4,1
2012.0,73058679.0,263700000.0,-190641321.0,0.277052252559727,6.6,Andrew Stanton,Daryl Sabara,212204,24000,0,4,1
2015.0,458991599.0,250000000.0,208991599.0,1.835966396,7.5,Joss Whedon,Chris Hemsworth,462669,118000,0,3,1
2016.0,330249062.0,250000000.0,80249062.0,1.320996248,6.9,Zack Snyder,Henry Cavill,371639,197000,0,3,1
2006.0,200069408.0,209000000.0,-8930592.0,0.9572698947368421,6.1,Bryan Singer,Kevin Spacey,240396,0,0,0,0
2013.0,291021565.0,225000000.0,66021565.0,1.2934291777777778,7.2,Zack Snyder,Henry Cavill,548573,118000,0,4,1
2012.0,623279547.0,220000000.0,403279547.0,2.83308885,8.1,Joss Whedon,Chris Hemsworth,995415,123000,1,4,1
2012.0,179020854.0,225000000.0,-45979146.0,0.79564824,6.8,Barry Sonnenfeld,Will Smith,268154,40000,0,4,1
2016.0,407197282.0,250000000.0,157197282.0,1.628789128,8.2,Anthony Russo,Robert Downey Jr.,272670,72000,0,3,1
2012.0,65173160.0,209000000.0,-143826840.0,0.3118333014354067,5.9,Peter Berg,Liam Neeson,202382,44000,0,4,1
2015.0,652177271.0,150000000.0,502177271.0,4.347848473333333,7.0,Colin Trevorrow,Bryce Dallas Howard,418214,150000,1,3,1
2013.0,408992272.0,200000000.0,208992272.0,2.04496136,7.2,Shane Black,Robert Downey Jr.,557489,95000,0,4,1
2006.0,234360014.0,210000000.0,24360014.0,1.1160000666666667,6.8,Brett Ratner,Hugh Jackman,383427,0,0,0,0
2009.0,402076689.0,200000000.0,202076689.0,2.010383445,6.0,Michael Bay,Glenn Morshower,323207,0,0,4,1
2014.0,245428137.0,210000000.0,35428137.0,1.1687054142857143,5.7,Michael Bay,Bingbing Li,242420,56000,0,5,1
2014.0,202853933.0,200000000.0,2853933.0,1.014269665,6.7,Marc Webb,Emma Stone,321227,41000,0,5,1
2010.0,172051787.0,170000000.0,2051787.0,1.0120693352941177,6.8,Joseph Kosinski,Jeff Bridges,264183,30000,0,1,0
2011.0,116593191.0,200000000.0,-83406809.0,0.582965955,5.6,Martin Campbell,Ryan Reynolds,223393,24000,0,4,1
2009.0,125320003.0,200000000.0,-74679997.0,0.626600015,6.6,McG,Christian Bale,286095,0,0,4,1
2013.0,202351611.0,190000000.0,12351611.0,1.0650084789473684,7.0,Marc Forster,Peter Capaldi,465019,129000,0,4,1
2014.0,233914986.0,200000000.0,33914986.0,1.16957493,8.0,Bryan Singer,Jennifer Lawrence,514125,82000,0,5,1
2013.0,228756232.0,190000000.0,38756232.0,1.2039801684210527,7.8,J.J. Abrams,Benedict Cumberbatch,395573,92000,0,4,1
2013.0,101785482.0,190000000.0,-88214518.0,0.5357130631578947,7.0,Guillermo del Toro,Charlie Hunnam,381148,83000,0,4,1
2011.0,352358779.0,195000000.0,157358779.0,1.8069680974358975,6.3,Michael Bay,Glenn Morshower,326180,46000,0,4,1
2016.0,130468626.0,185000000.0,-54531374.0,0.7052358162162162,7.5,Justin Lin,Sofia Boutella,53607,30000,0,3,1
2008.0,223806889.0,180000000.0,43806889.0,1.2433716055555555,8.4,Andrew Stanton,John Ratzenberger,718837,16000,0,2,1
2009.0,166112167.0,200000000.0,-33887833.0,0.830560835,5.8,Roland Emmerich,Oliver Platt,283418,13000,0,4,1
2015.0,47375327.0,176000000.0,-128624673.0,0.26917799431818185,5.4,Lana Wachowski,Channing Tatum,139593,44000,0,3,1
2016.0,154985087.0,178000000.0,-23014913.0,0.8707027359550562,7.3,Bryan Singer,Jennifer Lawrence,148379,54000,0,3,1
2009.0,198332128.0,175000000.0,23332128.0,1.1333264457142858,6.5,Rob Letterman,Amy Poehler,114553,0,0,4,1
2008.0,318298180.0,140000000.0,178298180.0,2.2735584285714285,7.9,Jon Favreau,Robert Downey Jr.,696338,10000,0,2,1
1999.0,113745408.0,170000000.0,-56254592.0,0.6690906352941176,4.8,Barry Sonnenfeld,Will Smith,129601,0,0,2,1
