title_year,gross,budget,marga,marga_coef,imdb_score,director_name,actor_1_name,num_voted_users,movie_facebook_likes,film_class,good_film_summ,year_class
2009.0,760505847.0,237000000.0,523505847.0,3.208885430379747,7.9,James Cameron,CCH Pounder,886204,33000,1,2,1
2007.0,309404152.0,300000000.0,9404152.0,1.0313471733333333,7.1,Gore Verbinski,Johnny Depp,471220,0,0,4,1
2010.0,200807262.0,260000000.0,-59192738.0,0.772335623076923,7.8,Nathan Greno,Brad Garrett,294810,29000,0,1,0
2009.0,301956980.0,250000000.0,51956980.0,1.20782792,7.5,David Yates,Alan Rickman,321795,10000,0,2,1
2006.0,423032628.0,225000000.0,198032628.0,1.8801450133333333,7.3,Gore Verbinski,Johnny Depp,522040,5000,0,3,1
2013.0,291021565.0,225000000.0,66021565.0,1.2934291777777778,7.2,Zack Snyder,Henry Cavill,548573,118000,0,5,1
2008.0,141614023.0,225000000.0,-83385977.0,0.6293956577777777,6.6,Andrew Adamson,Peter Dinklage,149922,0,0,2,1
2011.0,241063875.0,250000000.0,-8936125.0,0.9642555,6.7,Rob Marshall,Johnny Depp,370704,58000,0,1,0
2012.0,179020854.0,225000000.0,-45979146.0,0.79564824,6.8,Barry Sonnenfeld,Will Smith,268154,40000,0,5,1
2014.0,255108370.0,250000000.0,5108370.0,1.02043348,7.5,Peter Jackson,Aidan Turner,354228,65000,0,3,1
2012.0,262030663.0,230000000.0,32030663.0,1.139263752173913,7.0,Marc Webb,Emma Stone,451803,56000,0,5,1
2013.0,258355354.0,225000000.0,33355354.0,1.1482460177777778,7.9,Peter Jackson,Aidan Turner,483540,83000,0,5,1
2007.0,70083519.0,180000000.0,-109916481.0,0.38935288333333334,6.1,Chris Weitz,Christopher Lee,149019,0,0,4,1
2004.0,373377893.0,200000000.0,173377893.0,1.866889465,7.3,Sam Raimi,J.K. Simmons,411164,0,0,2,1
2010.0,334185206.0,200000000.0,134185206.0,1.67092603,6.5,Tim Burton,Johnny Depp,306320,24000,0,1,0
2006.0,234360014.0,210000000.0,24360014.0,1.1160000666666667,6.8,Brett Ratner,Hugh Jackman,383427,0,0,3,1
2013.0,268488329.0,200000000.0,68488329.0,1.342441645,7.3,Dan Scanlon,Steve Buscemi,235025,44000,0,5,1
2013.0,234903076.0,215000000.0,19903076.0,1.092572446511628,6.4,Sam Raimi,Tim Holmes,175409,60000,0,5,1
2014.0,202853933.0,200000000.0,2853933.0,1.014269665,6.7,Marc Webb,Emma Stone,321227,41000,0,3,1
2010.0,414984497.0,200000000.0,214984497.0,2.074922485,8.3,Lee Unkrich,Tom Hanks,544884,30000,0,1,0
2014.0,233914986.0,200000000.0,33914986.0,1.16957493,8.0,Bryan Singer,Jennifer Lawrence,514125,82000,0,3,1
2013.0,65171860.0,195000000.0,-129828140.0,0.33421466666666666,6.3,Bryan Singer,Eddie Marsan,106416,22000,0,5,1
